head_x,head_y,spine_top_x,spine_top_y,shoulder_right_x,shoulder_right_y,elbow_right_x,elbow_right_y,wrist_right_x,wrist_right_y,shoulder_left_x,shoulder_left_y,elbow_left_x,elbow_left_y,wrist_left_x,wrist_left_y
0.000000000000000000e+00,0.000000000000000000e+00,9.601380000000000337e+02,1.183119999999999976e+02,1.158089999999999918e+03,1.181790000000000020e+02,1.263349999999999909e+03,4.216220000000000141e+02,1.306880000000000109e+03,6.877390000000000327e+02,7.618390000000000555e+02,1.241880000000000024e+02,6.753809999999999718e+02,4.275049999999999955e+02,6.625099999999999909e+02,7.000660000000000309e+02
0.000000000000000000e+00,0.000000000000000000e+00,9.601440000000000055e+02,1.183179999999999978e+02,1.158049999999999955e+03,1.182439999999999998e+02,1.263349999999999909e+03,4.216220000000000141e+02,1.306630000000000109e+03,6.939230000000000018e+02,7.618619999999999663e+02,1.240849999999999937e+02,6.754009999999999536e+02,4.217690000000000055e+02,6.567749999999999773e+02,7.060119999999999436e+02
0.000000000000000000e+00,0.000000000000000000e+00,9.601150000000000091e+02,1.182740000000000009e+02,1.158000000000000000e+03,1.181790000000000020e+02,1.263319999999999936e+03,4.215480000000000018e+02,1.306829999999999927e+03,6.938350000000000364e+02,7.618740000000000236e+02,1.241219999999999999e+02,6.754429999999999836e+02,4.217040000000000077e+02,6.567519999999999527e+02,7.060449999999999591e+02
0.000000000000000000e+00,0.000000000000000000e+00,9.601580000000000155e+02,1.182710000000000008e+02,1.158029999999999973e+03,1.182030000000000030e+02,1.263250000000000000e+03,4.215219999999999914e+02,1.306680000000000064e+03,6.939089999999999918e+02,7.618609999999999900e+02,1.240780000000000030e+02,6.754740000000000464e+02,4.217370000000000232e+02,6.567300000000000182e+02,7.060289999999999964e+02
0.000000000000000000e+00,0.000000000000000000e+00,9.601730000000000018e+02,1.182980000000000018e+02,1.158019999999999982e+03,1.182339999999999947e+02,1.263250000000000000e+03,4.215289999999999964e+02,1.306579999999999927e+03,6.999669999999999845e+02,7.618590000000000373e+02,1.240769999999999982e+02,6.813479999999999563e+02,4.216050000000000182e+02,6.567730000000000246e+02,7.060330000000000155e+02
0.000000000000000000e+00,0.000000000000000000e+00,9.601900000000000546e+02,1.183040000000000020e+02,1.158029999999999973e+03,1.182369999999999948e+02,1.263250000000000000e+03,4.215579999999999927e+02,1.306569999999999936e+03,7.000330000000000155e+02,7.619210000000000491e+02,1.240810000000000031e+02,6.754460000000000264e+02,4.217339999999999804e+02,6.567659999999999627e+02,7.061399999999999864e+02
0.000000000000000000e+00,0.000000000000000000e+00,9.602229999999999563e+02,1.182740000000000009e+02,1.158069999999999936e+03,1.182560000000000002e+02,1.263210000000000036e+03,4.215430000000000064e+02,1.306690000000000055e+03,6.998559999999999945e+02,7.619429999999999836e+02,1.240570000000000022e+02,6.753440000000000509e+02,4.275439999999999827e+02,6.567380000000000564e+02,7.061019999999999754e+02
0.000000000000000000e+00,0.000000000000000000e+00,9.601480000000000246e+02,1.182249999999999943e+02,1.158019999999999982e+03,1.182109999999999985e+02,1.263170000000000073e+03,4.215520000000000209e+02,1.306740000000000009e+03,6.998669999999999618e+02,7.619070000000000391e+02,1.183599999999999994e+02,6.754039999999999964e+02,4.217549999999999955e+02,6.567369999999999663e+02,7.061169999999999618e+02
0.000000000000000000e+00,0.000000000000000000e+00,9.600720000000000027e+02,1.182660000000000053e+02,1.157970000000000027e+03,1.182019999999999982e+02,1.263200000000000045e+03,4.214710000000000036e+02,1.306849999999999909e+03,6.937540000000000191e+02,7.619030000000000200e+02,1.241290000000000049e+02,6.754759999999999991e+02,4.217269999999999754e+02,6.567290000000000418e+02,7.060549999999999500e+02
0.000000000000000000e+00,0.000000000000000000e+00,9.601770000000000209e+02,1.183550000000000040e+02,1.158059999999999945e+03,1.183379999999999939e+02,1.263259999999999991e+03,4.215600000000000023e+02,1.306869999999999891e+03,6.937480000000000473e+02,7.619320000000000164e+02,1.241230000000000047e+02,6.813189999999999600e+02,4.216089999999999804e+02,6.567820000000000391e+02,7.060320000000000391e+02
0.000000000000000000e+00,0.000000000000000000e+00,9.602010000000000218e+02,1.183569999999999993e+02,1.158029999999999973e+03,1.182860000000000014e+02,1.263269999999999982e+03,4.215369999999999777e+02,1.306890000000000100e+03,6.876910000000000309e+02,7.619450000000000500e+02,1.241320000000000050e+02,6.814160000000000537e+02,4.215899999999999750e+02,6.567780000000000200e+02,7.059619999999999891e+02
0.000000000000000000e+00,0.000000000000000000e+00,9.601939999999999600e+02,1.183520000000000039e+02,1.158079999999999927e+03,1.182890000000000015e+02,1.263319999999999936e+03,4.216070000000000277e+02,1.306920000000000073e+03,6.876059999999999945e+02,7.619710000000000036e+02,1.241159999999999997e+02,6.815130000000000337e+02,4.215989999999999895e+02,6.625529999999999973e+02,7.060610000000000355e+02
0.000000000000000000e+00,0.000000000000000000e+00,9.601879999999999882e+02,1.182930000000000064e+02,1.158069999999999936e+03,1.182240000000000038e+02,1.263299999999999955e+03,4.216329999999999814e+02,1.312630000000000109e+03,6.876349999999999909e+02,7.620090000000000146e+02,1.240840000000000032e+02,6.815489999999999782e+02,4.216059999999999945e+02,6.626250000000000000e+02,7.060030000000000427e+02
0.000000000000000000e+00,0.000000000000000000e+00,9.601799999999999500e+02,1.183359999999999985e+02,1.158049999999999955e+03,1.182570000000000050e+02,1.263289999999999964e+03,4.215470000000000255e+02,1.312720000000000027e+03,6.815510000000000446e+02,7.619869999999999663e+02,1.241400000000000006e+02,6.815080000000000382e+02,4.215950000000000273e+02,6.627250000000000227e+02,7.000099999999999909e+02
0.000000000000000000e+00,0.000000000000000000e+00,9.601620000000000346e+02,1.183670000000000044e+02,1.158039999999999964e+03,1.182729999999999961e+02,1.263269999999999982e+03,4.215000000000000000e+02,1.312710000000000036e+03,6.815689999999999600e+02,7.619320000000000164e+02,1.241269999999999953e+02,6.814819999999999709e+02,4.217040000000000077e+02,6.627530000000000427e+02,7.000829999999999700e+02
0.000000000000000000e+00,0.000000000000000000e+00,9.602019999999999982e+02,1.183010000000000019e+02,1.158069999999999936e+03,1.182480000000000047e+02,1.263319999999999936e+03,4.215470000000000255e+02,1.312730000000000018e+03,6.814410000000000309e+02,7.620130000000000337e+02,1.183829999999999956e+02,6.815670000000000073e+02,4.216190000000000282e+02,6.627780000000000200e+02,6.999900000000000091e+02
0.000000000000000000e+00,0.000000000000000000e+00,9.602279999999999518e+02,1.183679999999999950e+02,1.158039999999999964e+03,1.183389999999999986e+02,1.263220000000000027e+03,4.215450000000000159e+02,1.312779999999999973e+03,6.814220000000000255e+02,7.619660000000000082e+02,1.240930000000000035e+02,6.875470000000000255e+02,4.216370000000000005e+02,6.628099999999999454e+02,6.999610000000000127e+02
